"date,city,temperature_celsius,humidity_percent,wind_speed_kph,weather_condition,temperature_fahrenheit"
"2023-01-01,New York,5.00,60.00,10.00,Sunny,41.00"
"2023-01-02,New York,7.07,65.00,12.00,Cloudy,44.73"
"2023-01-03,New York,7.00,62.54,8.00,Rainy,44.60"
"2023-01-05,New York,7.07,62.54,19.27,Cloudy,44.73"
"2023-01-07,New York,7.07,62.54,17.90,Snowy,44.73"
"2023-01-08,New York,2.90,62.54,16.43,Rainy,37.22"
"2023-01-10,New York,7.07,88.00,0.80,Cloudy,44.73"
"2023-01-12,New York,7.07,58.28,2.30,Sunny,44.73"
"2023-01-14,New York,16.10,45.00,15.60,Cloudy,61.00"
"2023-01-15,New York,12.20,41.00,24.30,Rainy,54.00"
"2023-01-16,New York,7.07,55.85,15.20,Rainy,44.73"
"2023-01-17,New York,7.07,61.00,25.10,Rainy,44.73"
"2023-01-22,New York,13.40,61.02,16.43,Snowy,56.12"
"2023-01-24,New York,4.80,76.00,16.43,Rainy,40.64"
"2023-01-25,New York,12.90,51.00,5.70,Sunny,55.22"
"2023-01-26,New York,0.50,37.00,26.30,Rainy,32.90"
"2023-01-27,New York,0.80,62.54,14.20,Rainy,33.44"
"2023-01-28,New York,18.40,55.85,16.43,Cloudy,65.12"
"2023-01-29,New York,9.30,61.02,26.10,Cloudy,48.74"
"2023-01-29,New York,3.40,55.85,16.43,Snowy,38.12"
"2023-01-01,London,7.71,78.00,8.10,Rainy,45.88"
"2023-01-02,London,6.00,75.00,20.00,Snowy,42.80"
"2023-01-03,London,7.71,80.00,18.00,Cloudy,45.88"
"2023-01-05,London,7.71,60.00,11.79,Rainy,45.88"
"2023-01-06,London,5.30,62.35,1.50,Rainy,41.54"
"2023-01-07,London,14.80,62.35,11.79,Sunny,58.64"
"2023-01-09,London,7.71,62.35,11.79,Rainy,45.88"
"2023-01-10,London,7.71,46.00,11.79,Rainy,45.88"
"2023-01-12,London,13.70,41.00,11.79,Rainy,56.66"
"2023-01-15,London,7.71,56.00,11.79,Rainy,45.88"
"2023-01-17,London,15.10,62.35,11.79,Rainy,59.18"
"2023-01-18,London,7.71,62.35,26.50,Rainy,45.88"
"2023-01-27,London,18.10,59.00,1.00,Snowy,64.58"
"2023-01-01,Tokyo,10.00,50.00,5.00,Sunny,50.00"
"2023-01-02,Tokyo,12.00,55.00,6.00,Cloudy,53.60"
"2023-01-05,Tokyo,-1.70,53.08,23.00,Cloudy,28.94"
"2023-01-11,Tokyo,8.27,53.08,15.17,Sunny,46.89"
"2023-01-12,Tokyo,8.27,61.00,15.17,Rainy,46.89"
"2023-01-14,Tokyo,8.27,30.00,12.70,Cloudy,46.89"
"2023-01-16,Tokyo,-3.70,60.00,15.17,Rainy,25.34"
"2023-01-17,Tokyo,19.30,43.00,17.60,Rainy,66.74"
"2023-01-18,Tokyo,8.27,55.00,2.20,Cloudy,46.89"
"2023-01-19,Tokyo,8.90,53.08,15.17,Cloudy,48.02"
"2023-01-21,Tokyo,3.40,49.00,3.50,Snowy,38.12"
"2023-01-21,Tokyo,3.40,88.00,3.50,Cloudy,38.12"
"2023-01-21,Tokyo,8.27,44.00,3.50,Rainy,46.89"
"2023-01-24,Tokyo,7.50,53.08,15.17,Rainy,45.50"
"2023-01-25,Tokyo,6.20,47.00,27.10,Rainy,43.16"
"2023-01-26,Tokyo,-2.70,47.00,19.10,Rainy,27.14"
"2023-01-27,Tokyo,8.10,53.08,19.10,Rainy,46.58"
"2023-01-29,Tokyo,10.20,53.08,15.17,Cloudy,50.36"
"2023-02-01,Tokyo,13.50,53.08,15.17,Cloudy,56.30"
"2023-03-01,Tokyo,8.27,76.00,6.40,Snowy,46.89"
"2023-04-01,Tokyo,8.27,76.00,6.40,Snowy,46.89"
