date,city,temperature_celsius,humidity_percent,wind_speed_kph,weather_condition
1/1/2023,New York,5,60,10,Sunny
1/2/2023,New York,,65,12,Cloudy
3/1/2023,New York,7,,8,Rainy
,London,8,70,15,Unknown
1/2/2023,London,6,75,20,Snowy
1/3/2023,London,,80,18,Cloudy
1/1/2023,Tokyo,10,50,5,Sunny
1/2/2023,Tokyo,12,55,6,Cloudy
3/1/2023,Tokyo,,60,7,Unknown
1/25/2023,New York,,51,20.3,Sunny
1/12/2023,New York,,,10.2,Unknown
14-01-2023,New York,15.7,,1.1,Unknown
1/7/2023,New York,,,17.9,Snowy
6/1/2023,London,,,11.1,Unknown
1/15/2023,London,,56,,RAINY
,London,,65,15.1,RAINY
1/12/2023,Tokyo,,61,,RAINY
14.01.2023,London,,,,NULL
25/01/2023,London,,,7.4,Unknown
1/19/2023,Tokyo,8.9,,,
1/25/2023,Tokyo,6.2,,27.1,Rainy
17/01/2023,Tokyo,19.3,43,,RAINY
14.01.2023,New York,16.1,45,15.6,
1/5/2023,London,,60,,Rainy
7/1/2023,London,,,,NULL
,Tokyo,-1.2,38,,
,Tokyo,,,29.7,Sunny
1/26/2023,New York,0.5,37,26.3,unknown
1/16/2023,New York,,,,Rainy
,London,,,,Sunny
,New York,,89,27.8,Cloudy
,Tokyo,17.5,79,1,Unknown
1/26/2023,Tokyo,-2.7,,,RAINY
18-01-2023,Tokyo,,55,2.2,Cloudy
25.01.2023,New York,12.9,,5.7,Sunny
07.01.2023,London,,72,8.1,Sunny
17/01/2023,New York,,61,25.1,RAINY
,New York,,89,23.3,Rainy
1/28/2023,New York,18.4,,,Unknown
1/17/2023,Tokyo,,,17.6,Unknown
27.01.2023,Tokyo,8.1,,19.1,unknown
1/29/2023,Tokyo,10.2,,,Cloudy
,New York,15.1,35,,NULL
1/21/2023,Tokyo,,44,3.5,RAINY
,London,,69,11.4,RAINY
1/15/2023,New York,,,,Unknown
,Tokyo,,,,Snowy
26.01.2023,Tokyo,,47,,unknown
,London,,,13.1,Unknown
21.01.2023,Tokyo,3.4,49,3.5,Snowy
1/10/2023,London,,46,,RAINY
17.01.2023,London,15.1,,,Unknown
1/8/2023,New York,2.9,,,Unknown
12.01.2023,New York,,,2.3,Sunny
21/01/2023,Tokyo,,54,,NULL
22/01/2023,New York,13.4,,,Snowy
1/29/2023,New York,3.4,,,Snowy
1/1/2023,London,,78,8.1,Unknown
,New York,,31,,Snowy
21.01.2023,Tokyo,,88,,Cloudy
18.01.2023,London,,,26.5,unknown
2/1/2023,Tokyo,13.5,,,
,New York,,,18.4,Cloudy
30.01.2023,New York,,,,
1/27/2023,London,18.1,59,1,Snowy
1/8/2023,London,14.8,,,
29.01.2023,New York,9.3,,26.1,Cloudy
,Tokyo,,42,,Cloudy
4/1/2023,Tokyo,,76,6.4,Snowy
1/23/2023,London,,,,
1/15/2023,New York,12.2,,16.5,RAINY
1/24/2023,Tokyo,7.5,,,unknown
1/5/2023,London,,,,RAINY
1/16/2023,Tokyo,5.8,,,Rainy
,London,,,,unknown
20-01-2023,New York,,,,unknown
27.01.2023,New York,,,17.4,Rainy
20.01.2023,New York,-4.1,,,Unknown
24.01.2023,London,,,27.4,
14.01.2023,Tokyo,,30,12.7,Cloudy
16/01/2023,Tokyo,-3.7,60,,Rainy
26.01.2023,London,-1.7,74,,
24/01/2023,New York,4.8,76,,Rainy
1/5/2023,New York,,,,Unknown
1/10/2023,New York,,88,0.8,Cloudy
,New York,18.3,32,28.4,NULL
1/5/2023,Tokyo,-1.7,,23,Cloudy
27-01-2023,New York,0.8,,14.2,unknown
,London,,35,21.5,unknown
6/1/2023,London,,85,9.3,Rainy
20/01/2023,Tokyo,,,20.7,Unknown
,Tokyo,8.7,,,NULL
25/01/2023,London,,,29.9,Cloudy
,London,,76,8.8,Unknown
1/6/2023,London,5.3,,1.5,unknown
1/1/2023,London,,,,Rainy
9/1/2023,London,,,,Rainy
1/11/2023,Tokyo,,,,Sunny
15/01/2023,New York,,41,24.3,
1/12/2023,London,13.7,41,,Unknown
